Name,FromYear,ToYear,Area,Type,Wikipedia,Wikidata,SeshatID,Components,MemberOf,CentroidLon,CentroidLat
Assyrian Egypt,-630,-616,1435115.5968804704,POLITY,Assyrian conquest of Egypt,,,,,38.4495,33.0607
Carthage,-630,-501,12267.345574433812,POLITY,Ancient Carthage,,tn_carthage_emp,,(Carthage),10.1623,36.4765
Lydia,-630,-616,255588.19618801295,POLITY,Lydia,,,,,30.7337,39.2622
Lydia,-615,-601,255809.00573026936,POLITY,Lydia,,tr_lydia_k,,,30.736,39.2612
Kingdom of Urartu,-615,-601,161552.14355469195,POLITY,Urartu,,,,,41.9402,39.5362
Twenty-sixth Dynasty of Egypt,-615,-551,452849.4488884285,POLITY,Twenty-sixth Dynasty of Egypt,,,,,31.4459,27.2112
Phoenicia,-615,-531,35028.257201153676,POLITY,Phoenicia,,lb_phoenician_emp,,,15.9964,35.6477
Greek City-States,-615,-601,165678.24504265326,POLITY,Polis,,,,,23.8719,37.5591
Median Kingdom,-615,-601,2062083.6137691112,POLITY,Median dynasty,,ir_median_emp,,,58.9018,33.1058
Elam,-615,-601,43989.15491626055,POLITY,Elam,,,,,49.2023,31.6185
Neo-Assyrian Empire,-615,-601,555798.2934094695,POLITY,Neo-Assyrian Empire,,iq_neo_assyrian_emp,,,40.0379,35.2882
Babylonia,-615,-601,152584.98408953391,POLITY,Babylonia,,,,,46.394,31.9195
Janapada of Avanti,-600,-451,5103.958132607815,POLITY,Avanti (region),,in_mahajanapada,,(Mahajanapadas),75.7801,23.2354
Janapada of Anga,-600,-531,5577.980832112316,POLITY,Anga,,in_mahajanapada,,(Mahajanapadas),87.2892,24.5926
(Mahajanapadas),-600,-551,80962.17364889354,POLITY,Mahajanapadas,,in_mahajanapada,Janapada of Gandhāra;Janapada of Vajji;Janapada of Kamboja;Janapada of Kāśī;Janapada of Matsya;Janapada of Malla;Janapada of Cedī;Janapada of Anga;Janapada of Kuru;Janapada of Vatsa;Janapada of Kosala;Janapada of Surasena;Janapada of Avanti;Janapada of Magadha;Janapada of Pañcāla;Janapada of Aśmaka,,80.0953,26.8642
Neo-Babylonian Empire,-600,-551,703485.5547573115,POLITY,Neo-Babylonian Empire,,iq_neo_babylonian_emp,,,40.6264,34.3976
Janapada of Magadha,-600,-531,5039.950271172735,POLITY,Magadha,,in_mahajanapada,,(Mahajanapadas),84.9942,25.4856
Etruscans,-600,-551,49092.21178270168,POLITY,Etruscan civilization,,,,,12.1711,42.7538
Janapada of Malla,-600,-481,5485.7156839613635,POLITY,Malla (tribe),,in_mahajanapada,,(Mahajanapadas),84.1468,26.6284
Janapada of Aśmaka,-600,-551,5466.954933174669,POLITY,Asmaka,,in_mahajanapada,,(Mahajanapadas),78.279,19.8291
Janapada of Vajji,-600,-501,5163.498020195235,POLITY,Vajjika League,,in_mahajanapada,,(Mahajanapadas),85.8676,26.7102
Janapada of Cedī,-600,-481,4395.761829221028,POLITY,Cedī (tribe),,in_mahajanapada,,(Mahajanapadas),81.4324,25.5317
Janapada of Kuru,-600,-451,5231.696471520954,POLITY,Kuru Kingdom,,in_mahajanapada,,(Mahajanapadas),77.2813,28.6476
Janapada of Kosala,-600,-481,4989.650229438946,POLITY,Kosala,,in_mahajanapada,,(Mahajanapadas),81.8393,27.1572
Janapada of Matsya,-600,-451,5219.659637820523,POLITY,Matsya (tribe),,in_mahajanapada,,(Mahajanapadas),76.1649,27.4268
Lydia,-600,-551,255952.26911916037,POLITY,Lydia,,tr_lydia_k,,,30.7358,39.2629
Janapada of Surasena,-600,-451,5198.609074103949,POLITY,Surasena,,in_mahajanapada,,(Mahajanapadas),77.7118,27.2767
Janapada of Pañcāla,-600,-451,4959.468340671114,POLITY,Pañcāla,,in_mahajanapada,,(Mahajanapadas),79.0838,28.1225
Janapada of Vatsa,-600,-481,4014.804097792469,POLITY,Vatsa,,in_mahajanapada,,(Mahajanapadas),81.9636,25.7644
Kingdom of Urartu,-600,-551,154709.3816541369,POLITY,Urartu,,,,,41.8165,39.6076
