Austronesians	OK	tiles=40; rows=30	2026-08-17T11:43:47
Proto-Burmese	OK	tiles=3; rows=1	2026-08-17T11:43:55
Thai Peoples	OK	tiles=4; rows=4	2026-08-17T11:44:01
South China Peoples	OK	tiles=8; rows=32	2026-08-17T11:44:08
Longshan Culture	OK	tiles=7; rows=2	2026-08-17T11:44:15
Koreans	OK	tiles=2; rows=1	2026-08-17T11:44:21
Jomon Culture	OK	tiles=5; rows=1	2026-08-17T11:44:28
Paleosiberians	OK	tiles=35; rows=1	2026-08-17T11:44:34
Arctic Marine Mammal Hunters	OK	tiles=11; rows=1	2026-08-17T11:44:41
Proto-Mongol Peoples	OK	tiles=7; rows=1	2026-08-17T11:44:47
Manchurian Peoples	OK	tiles=12; rows=6	2026-08-17T11:44:54
Ainu	OK	tiles=5; rows=1	2026-08-17T11:45:01
Proto-Turkic Peoples	OK	tiles=15; rows=2	2026-08-17T11:45:08
Patagonian Peoples	OK	tiles=4; rows=1	2026-08-17T11:45:14
Pampas Cultures	OK	tiles=11; rows=1	2026-08-17T11:45:21
Andean Peoples	OK	tiles=13; rows=7	2026-08-17T11:45:29
Savanna Peoples	OK	tiles=23; rows=1	2026-08-17T11:45:36
Chinchorro Culture	OK	tiles=3; rows=1	2026-08-17T11:45:43
Amazonian Peoples	OK	tiles=32; rows=1	2026-08-17T11:45:50
Norte Chico Civilization	OK	tiles=2; rows=1	2026-08-17T11:45:56
Valdivia Culture	OK	tiles=1; rows=1	2026-08-17T11:46:03
Mesoamerican Peoples	OK	tiles=14; rows=5	2026-08-17T11:46:09
Caribbean Peoples	OK	tiles=11; rows=1	2026-08-17T11:46:16
Desert Cultures	OK	tiles=17; rows=1	2026-08-17T11:46:23
Plains Peoples	OK	tiles=18; rows=1	2026-08-17T11:46:30
Eastern Woodland Peoples	OK	tiles=24; rows=3	2026-08-17T11:46:37
California Peoples	OK	tiles=4; rows=1	2026-08-17T11:46:44
Northwest Coast Peoples	OK	tiles=8; rows=1	2026-08-17T11:46:51
Plateau Peoples	OK	tiles=8; rows=1	2026-08-17T11:46:59
Subarctic Peoples	OK	tiles=32; rows=1	2026-08-17T11:47:06
Aleuts	OK	tiles=4; rows=1	2026-08-17T11:47:13
