Index,Name,FromYear,ToYear,Area,Type,References,MemberOf,FullPath,Region,Subregion,ColorR,ColorG,ColorB,Generated,SourceRun,OverlapNote,geometry
296,Italics,-800.1,-450.5,13755.1,TRIBAL_AREA,,,Italics,Europe,Southern Europe,240,112,0,2026-08-21,Italics,"Contained in border: Bruttii, Lucani","MULTIPOINT ((15.9379 38.1468), (16.3103 38.5785), (16.3259 3…"
297,Jomon Culture,-2400.1,-1.0,209083.1,TRIBAL_AREA,,,Jomon Culture,East Asia,Northeast Asia,128,240,192,2026-08-21,Jomon Culture,,"MULTIPOINT ((130.5 31.9), (131.4 32.7), (130.3 33.42), (132.…"
298,Ju,-523.5,-469.5,5937.8,POLITY,,,Ju,East Asia,North China,192,96,160,2026-08-21,Ju,,"POLYGON ((119.1949 34.96511, 119.1945 34.91873, 119.19 34.91…"
299,Kaccha,-610.1,-317.5,12408.0,POLITY,,,Kaccha,South Asia,North India,244,244,242,2026-08-21,Kaccha,,"POLYGON ((69.9468 22.9898, 69.8735 22.9415, 69.7785 22.9132,…"
300,Kalaurian Amphictiony,-520.5,-494.5,1165.3,POLITY,,,Kalaurian Amphictiony,Europe,Southern Europe,244,160,160,2026-08-21,Kalaurian Amphictiony,,"MULTIPOLYGON (((23.16175 37.23145, 23.16597 37.23447, 23.181…"
301,Aperopia,-670.5,-494.5,14.2,POLITY,,(Kalaurian Amphictiony),Kalaurian Amphictiony - Aperopia,Europe,Southern Europe,244,160,163,2026-08-21,Kalaurian Amphictiony,,"POLYGON ((23.31167 37.3215, 23.34433 37.3235, 23.35878 37.33…"
302,Aristera,-670.5,-494.5,1.8,POLITY,,(Kalaurian Amphictiony),Kalaurian Amphictiony - Aristera,Europe,Southern Europe,244,160,165,2026-08-21,Kalaurian Amphictiony,,"POLYGON ((23.17811 37.21745, 23.18153 37.21819, 23.18292 37.…"
303,Epidauria,-670.5,-494.5,487.2,POLITY,,(Kalaurian Amphictiony),Kalaurian Amphictiony - Epidauria,Europe,Southern Europe,244,160,168,2026-08-21,Kalaurian Amphictiony,,"POLYGON ((23.17947 37.80686, 23.17783 37.78967, 23.17908 37.…"
304,Hermionis,-670.5,-494.5,552.9,POLITY,,(Kalaurian Amphictiony),Kalaurian Amphictiony - Hermionis,Europe,Southern Europe,244,160,167,2026-08-21,Kalaurian Amphictiony,,"POLYGON ((23.2725 37.55828, 23.27664 37.55397, 23.30239 37.5…"
305,Hydroussa/Hydrea,-670.5,-494.5,50.4,POLITY,,(Kalaurian Amphictiony),Kalaurian Amphictiony - Hydroussa/Hydrea,Europe,Southern Europe,244,160,162,2026-08-21,Kalaurian Amphictiony,,"POLYGON ((23.37339 37.30347, 23.3892 37.31625, 23.40997 37.3…"
