Index,Name,FromYear,ToYear,Area,Type,References,MemberOf,ColorR,ColorG,ColorB,Generated,SourceRun,geometry
97,Marsi,-304.5,-1.0,894.7,POLITY,,(Roman Ally),248,209,124,2026-08-16,Roman Ally,"POLYGON ((13.3456 41.9738, 13.3836 41.9794, 13.4263 41.9863,…"
98,Massalia,-389.5,-1.0,191.0,POLITY,,(Roman Ally),248,208,115,2026-08-16,Roman Ally,"POLYGON ((5.4462 43.2198, 5.4554 43.2284, 5.4634 43.2381, 5.…"
99,Messapians,-267.5,-1.0,5394.2,TRIBAL_AREA,,(Roman Ally),248,210,125,2026-08-16,Roman Ally,"POLYGON ((18.4145 39.98389, 18.40728 39.97117, 18.40408 39.9…"
100,Neapolis,-326.7,-1.0,185.2,POLITY,,(Roman Ally),248,209,112,2026-08-16,Roman Ally,"POLYGON ((14.344 40.7988, 14.3459 40.8032, 14.3498 40.8151, …"
101,Norba,-338.5,-1.0,93.1,POLITY,,(Roman Ally),248,208,122,2026-08-16,Roman Ally,"POLYGON ((12.9831 41.6569, 12.9742 41.6501, 12.9556 41.6346,…"
102,Oriculum,-308.1,-290.2,17.9,POLITY,,(Roman Ally),248,209,120,2026-08-16,Roman Ally,"POLYGON ((12.4914 42.4158, 12.4908 42.4189, 12.4898 42.4219,…"
103,Paeligni,-304.5,-1.0,1921.0,POLITY,,(Roman Ally),248,209,122,2026-08-16,Roman Ally,"POLYGON ((13.68031 42.18903, 13.69283 42.18711, 13.70158 42.…"
104,Pentri,-267.5,-1.0,1811.5,POLITY,,(Roman Ally),248,211,112,2026-08-16,Roman Ally,"MULTIPOLYGON (((14.3125 41.8947, 14.3292 41.8814, 14.3608 41…"
105,Peucetians,-267.5,-1.0,5591.3,TRIBAL_AREA,,(Roman Ally),248,210,126,2026-08-16,Roman Ally,"POLYGON ((17.3703 40.8138, 17.329 40.7766, 17.2979 40.7538, …"
106,Piceni,-299.3,-290.2,7202.5,POLITY,,(Roman Ally),248,209,127,2026-08-16,Roman Ally,"POLYGON ((13.5502 42.6162, 13.5481 42.6431, 13.545 42.6607, …"
107,Piceni,-290.2,-286.5,6624.7,POLITY,,(Roman Ally),248,209,127,2026-08-16,Roman Ally,"POLYGON ((13.91522 42.89442, 13.92206 42.85506, 13.8917 42.8…"
108,Piceni,-286.5,-269.8,4033.2,POLITY,,(Roman Ally),248,209,127,2026-08-16,Roman Ally,"POLYGON ((13.91522 42.89442, 13.92206 42.85506, 13.8917 42.8…"
109,Pompeii,-339.5,-1.0,63.5,POLITY,,(Roman Ally),248,209,115,2026-08-16,Roman Ally,"POLYGON ((14.476 40.7003, 14.4823 40.6995, 14.4885 40.6995, …"
110,Populonia,-266.5,-1.0,723.0,POLITY,,(Roman Ally),248,211,119,2026-08-16,Roman Ally,"POLYGON ((10.53331 43.17433, 10.5486 43.171, 10.5755 43.1721…"
111,Praeneste,-338.5,-1.0,371.8,POLITY,,(Roman Ally),248,208,119,2026-08-16,Roman Ally,"POLYGON ((12.79 41.8383, 12.8099 41.8464, 12.8358 41.8547, 1…"
112,Purusia,-310.4,-295.8,668.2,POLITY,,(Roman Ally),248,209,117,2026-08-16,Roman Ally,"POLYGON ((12.29195 43.32358, 12.28908 43.32281, 12.26392 43.…"
113,Purusia,-266.5,-1.0,668.2,POLITY,,(Roman Ally),248,209,117,2026-08-16,Roman Ally,"POLYGON ((12.29195 43.32358, 12.28908 43.32281, 12.26392 43.…"
114,Sabini,-290.2,-1.0,1113.6,POLITY,,(Roman Ally),248,210,117,2026-08-16,Roman Ally,"POLYGON ((12.45681 42.42128, 12.45197 42.42395, 12.45133 42.…"
115,Saina,-266.5,-1.0,2551.5,POLITY,,(Roman Ally),248,211,121,2026-08-16,Roman Ally,"POLYGON ((10.9831 43.1059, 10.9997 43.1193, 11.0141 43.1441,…"
116,Samnium,-290.5,-280.4,10970.0,POLITY,,(Roman Ally),248,210,115,2026-08-16,Roman Ally,"MULTIPOLYGON (((15.3908 40.8175, 15.3592 40.8225, 15.3358 40…"
117,Samnium,-267.5,-1.0,4419.2,POLITY,,(Roman Ally),248,210,115,2026-08-16,Roman Ally,"POLYGON ((15.2662 41.0279, 15.291 41.0248, 15.3159 41.0155, …"
118,Setia,-338.5,-1.0,60.1,POLITY,,(Roman Ally),248,208,123,2026-08-16,Roman Ally,"POLYGON ((12.9887 41.5332, 13.0001 41.5394, 13.0167 41.5529,…"
119,Sidicini,-334.5,-313.3,550.5,POLITY,,(Roman Ally),248,208,126,2026-08-16,Roman Ally,"POLYGON ((13.8615 41.4137, 13.8786 41.4219, 13.9034 41.4271,…"
120,Sidicini,-313.3,-1.0,293.0,POLITY,,(Roman Ally),248,208,126,2026-08-16,Roman Ally,"POLYGON ((14.10836 41.38906, 14.11561 41.38536, 14.11694 41.…"
121,Signia,-338.5,-1.0,92.6,POLITY,,(Roman Ally),248,208,121,2026-08-16,Roman Ally,"POLYGON ((12.9976 41.6803, 12.9945 41.6755, 12.9883 41.6672,…"
122,Tarentum,-272.5,-1.0,1595.9,POLITY,,(Roman Ally),248,210,124,2026-08-16,Roman Ally,"POLYGON ((17.33133 40.3625, 17.3185 40.36281, 17.30897 40.36…"
123,Tarquinii,-266.5,-1.0,1273.3,POLITY,,(Roman Ally),248,211,114,2026-08-16,Roman Ally,"POLYGON ((11.6566 42.2948, 11.6814 42.3103, 11.7217 42.3372,…"
124,Tibur,-338.5,-1.0,479.0,POLITY,,(Roman Ally),248,208,118,2026-08-16,Roman Ally,"POLYGON ((13.1008 41.9187, 13.0856 41.927, 13.0718 41.9518, …"
125,Umbria,-290.2,-266.9,6083.0,POLITY,,(Roman Ally),248,210,116,2026-08-16,Roman Ally,"POLYGON ((12.3867 43.91, 12.35 43.875, 12.3117 43.8483, 12.2…"
126,Umbria,-266.5,-1.0,6083.0,POLITY,,(Roman Ally),248,210,116,2026-08-16,Roman Ally,"POLYGON ((12.3867 43.91, 12.35 43.875, 12.3117 43.8483, 12.2…"
127,Vestini,-302.5,-290.2,2167.2,POLITY,,(Roman Ally),248,209,126,2026-08-16,Roman Ally,"POLYGON ((14.03053 42.66011, 14.02481 42.6575, 14.01628 42.6…"
128,Vestini,-290.2,-1.0,969.1,POLITY,,(Roman Ally),248,209,126,2026-08-16,Roman Ally,"POLYGON ((14.03053 42.66011, 14.02481 42.6575, 14.01628 42.6…"
129,Vetulonium,-266.5,-1.0,1915.0,POLITY,,(Roman Ally),248,211,118,2026-08-16,Roman Ally,"POLYGON ((10.74683 42.92878, 10.749 42.94, 10.7676 42.9586, …"
130,Volaterrae,-266.5,-1.0,5098.7,POLITY,,(Roman Ally),248,211,120,2026-08-16,Roman Ally,"POLYGON ((10.27458 43.68737, 10.30611 43.68412, 10.3165 43.6…"
131,Volsci,-338.5,-303.5,1468.1,POLITY,,(Roman Ally),248,210,113,2026-08-16,Roman Ally,"MULTIPOLYGON (((13.8391 41.2952, 13.8247 41.3014, 13.7988 41…"
132,Volsci,-303.5,-1.0,357.5,POLITY,,(Roman Ally),248,210,113,2026-08-16,Roman Ally,"POLYGON ((13.6126 41.4017, 13.599 41.4183, 13.5825 41.4328, …"
133,Volsinii,-280.6,-1.0,2899.0,POLITY,,(Roman Ally),248,210,119,2026-08-16,Roman Ally,"POLYGON ((12.0279 42.9331, 12.0559 42.9372, 12.0797 42.9404,…"
