Search Term,Date From,Date To,Center Lat,Center Lon,WHE 1,WHE 2,Wiki 1,Wiki 2
adena culture,-800,-1,39.1,-82.7,https://www.worldhistory.org/Adena_Culture/,,https://en.wikipedia.org/wiki/Adena_Culture,
aegina,-520,-338,37.5,22.5,https://www.worldhistory.org/Aegina/,,https://en.wikipedia.org/wiki/Aegina,
aeniania,-696,-274,37.5,22.5,,,https://en.wikipedia.org/wiki/Aeniania,
aeolian league,-696,-544,37.5,27.5,,,https://en.wikipedia.org/wiki/Aeolian_League,
aeolians,-1224,-696,39.4,26.4,,,https://en.wikipedia.org/wiki/Aeolians,
aequi,-800,-304,42.5,15.0,,,https://en.wikipedia.org/wiki/Aequi,
aetolia,-696,371,37.5,22.5,https://www.worldhistory.org/Aetolia/,,https://en.wikipedia.org/wiki/Aetolia,
aetolian league,-310,-1,37.5,22.5,https://www.worldhistory.org/Aetolian_League/,,https://en.wikipedia.org/wiki/Aetolian_League,
agathoclid ally,-308,-290,39.0,14.0,,,https://en.wikipedia.org/wiki/Agathoclid_Ally,
ahhiya,-1430,-1202,37.4,28.6,,,https://en.wikipedia.org/wiki/Ahhiya,
ainu,-2400,-1,47.4,145.3,,,https://en.wikipedia.org/wiki/Ainu,
aitna,-466,-462,37.5,15.0,,,https://en.wikipedia.org/wiki/Aitna,
akkadian empire,-2279,-2193,33.0,45.8,https://www.worldhistory.org/Akkadian_Empire/,,https://en.wikipedia.org/wiki/Akkadian_Empire,
akkadian tributary,-2298,-2220,28.3,54.3,,,https://en.wikipedia.org/wiki/Akkadian_Tributary,
akraephia,-386,-379,37.5,22.5,,,https://en.wikipedia.org/wiki/Akraephia,
akragas,-500,-268,37.5,12.7,https://www.worldhistory.org/Akragas/,,https://en.wikipedia.org/wiki/Akragas,
alasiya,-1876,-1201,34.9,32.5,,,https://en.wikipedia.org/wiki/Alasiya,
alavi,-610,-468,27.5,82.5,,,https://en.wikipedia.org/wiki/Alavi,
albanians,-612,-1,39.6,47.1,,,https://en.wikipedia.org/wiki/Albanians,
aleuts,-2400,-1,60.8,-159.7,,,https://en.wikipedia.org/wiki/Aleuts,
alfaterni,-438,-1,42.5,15.0,,,https://en.wikipedia.org/wiki/Alfaterni,
allabria,-860,-717,37.5,47.5,,,https://en.wikipedia.org/wiki/Allabria,
allakappa,-610,-468,27.5,82.5,,,https://en.wikipedia.org/wiki/Allakappa,
allied armies of the eastern satraps,-318,-317,34.9,56.2,,,https://en.wikipedia.org/wiki/Allied_Armies_Of_The_Eastern_Satraps,
alshe,-1368,-1240,37.5,42.5,,,https://en.wikipedia.org/wiki/Alshe,
alzi,-931,-804,37.5,42.5,,,https://en.wikipedia.org/wiki/Alzi,
amazonian peoples,-2400,-1,-4.4,-60.6,,,https://en.wikipedia.org/wiki/Amazonian_Peoples,
ambashthas,-610,-400,32.5,72.5,,,https://en.wikipedia.org/wiki/Ambashthas,
ambracia,-366,-295,37.5,22.5,,,https://en.wikipedia.org/wiki/Ambracia,
ammonites,-1280,-587,32.5,37.5,,,https://en.wikipedia.org/wiki/Ammonites,
amorite ebla,-1900,-1826,34.9,37.5,,,https://en.wikipedia.org/wiki/Amorite_Ebla,
amorite mari,-2100,-1761,35.8,39.5,,,https://en.wikipedia.org/wiki/Amorite_Mari,
amorite tuttul,-1900,-1826,37.5,40.0,,,https://en.wikipedia.org/wiki/Amorite_Tuttul,
amorites,-2200,-1280,33.6,40.8,https://www.worldhistory.org/amorite/,,https://en.wikipedia.org/wiki/Amorites,
amurru,-1728,-968,33.9,37.3,https://www.worldhistory.org/Amurru/,,https://en.wikipedia.org/wiki/Amurru,
anarta,-610,-318,22.5,72.5,,,https://en.wikipedia.org/wiki/Anarta,
andean peoples,-2400,-1,-15.4,-73.1,,,https://en.wikipedia.org/wiki/Andean_Peoples,
andhra,-610,-300,17.5,82.5,,,https://en.wikipedia.org/wiki/Andhra,
andorra,1990,,42.5,3.0,,,https://en.wikipedia.org/wiki/Andorra,
anga,-775,-530,25.4,87.5,,,https://en.wikipedia.org/wiki/Anga,
anshan,-2348,-653,28.7,52.3,,,https://en.wikipedia.org/wiki/Anshan,
antandros,-478,-428,37.5,27.5,,,https://en.wikipedia.org/wiki/Antandros,
antarctica,1990,,-75.0,32.5,https://www.worldhistory.org/Antarctica/,,https://en.wikipedia.org/wiki/Antarctica,
anti macedon alliance,-268,-262,37.5,23.3,,,https://en.wikipedia.org/wiki/Anti_Macedon_Alliance,
anti roman alliance,-341,-338,42.5,15.0,,,https://en.wikipedia.org/wiki/Anti_Roman_Alliance,
anti spartan alliance,-395,-386,38.5,25.3,,,https://en.wikipedia.org/wiki/Anti_Spartan_Alliance,
antigonid ally,-313,-290,37.6,23.5,,,https://en.wikipedia.org/wiki/Antigonid_Ally,
antigonid kingdom,-306,-1,38.1,26.7,https://www.worldhistory.org/Antigonid_Kingdom/,,https://en.wikipedia.org/wiki/Antigonid_Kingdom,
antigua and barbuda,1990,,17.5,-62.5,,,https://en.wikipedia.org/wiki/Antigua_And_Barbuda,
antipatrid ally,-310,-306,41.0,27.2,,,https://en.wikipedia.org/wiki/Antipatrid_Ally,
anupa,-610,-348,22.5,77.5,,,https://en.wikipedia.org/wiki/Anupa,
anuradhapura,-326,-1,7.5,78.7,,,https://en.wikipedia.org/wiki/Anuradhapura,
aparytae,-610,-544,32.5,72.5,,,https://en.wikipedia.org/wiki/Aparytae,
