Search Term,Date From,Date To,Center Lat,Center Lon
lukka,-1536,-1236,37.5,28.6
lullubi,-2400,-2050,37.5,46.7
lullubum,-2054,-2051,37.5,45.0
luo,-770,-690,32.5,112.5
luwians,-2023,-1000,38.6,30.1
luxembourg,1990,,50.0,6.0
lycians,-1000,-362,37.5,29.4
lydia,-850,-547,38.7,29.2
lydians,-1000,-850,37.5,27.5
lynkestis,-540,-392,42.5,21.0
macedon,-281,-277,39.9,23.0
macedonia,1990,,42.5,21.0
macedonian ally,-338,-322,37.9,26.3
madagascar,1990,,-20.0,47.5
madra,-950,-326,32.5,75.0
maeotians,-380,-326,44.9,39.0
magadha,-775,-355,26.2,82.5
magan,-2400,-1550,26.9,57.2
magnesia,-650,-580,37.5,22.5
malavas,-610,-326,32.5,72.5
malawi,1990,,-12.5,35.0
malaysia,1990,,5.0,107.5
maldives,1990,,2.5,72.5
mali,1990,,20.0,-5.0
malis,-696,-371,37.5,22.5
